    A  B  C  D  E  F  G  H  I  J  K  L  M
A   0  2  5  9  5  5  3  7  6  2  1  1  8
B   2  0  7 11  7  7  5  9  8  4  3  1  8
C   5  7  0  6  4  4  6  2  5  3  6  6  9
D   9 11  6  0  8  4 10  6  3  7 10 10 15
E   5  7  4  8  0  4  2  6  5  3  4  6 13
F   5  7  4  4  4  0  6  4  1  3  6  6 13
G   3  5  6 10  2  6  0  8  7  3  2  4 11
H   7  9  2  6  6  4  8  0  5  5  8  8  9
I   6  8  5  3  5  1  7  5  0  4  7  7 14
J   2  4  3  7  3  3  3  5  4  0  3  3 10
K   1  3  6 10  4  6  2  8  7  3  0  2  9
L   1  1  6 10  6  6  4  8  7  3  2  0  7
M   8  8  9 15 13 13 11  9 14 10  9  7  0
